"Movie","Netflix","Hulu","Prime.Video","Disney.","imdb_title_id","date_published","genre","duration","description","weighted_average_vote","total_votes","mean_vote","allgenders_0age_avg_vote","allgenders_0age_votes","allgenders_18age_avg_vote","allgenders_18age_votes","allgenders_30age_avg_vote","allgenders_30age_votes","allgenders_45age_avg_vote","allgenders_45age_votes","Certificate","Genre","Meta_score","Poster_Link"
"Sicario",0,0,1,0,"tt3397884","2015-09-24","Action, Crime, Drama",121,"An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.",7.6,360616,7.6,7.6,182,7.7,77296,7.6,141858,7.6,34439,"A","Action, Crime, Drama",82,"https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Silver Linings Playbook",1,0,0,0,"tt1045658","2013-03-07","Comedy, Drama, Romance",122,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",7.7,651122,7.8,7.8,179,7.8,172866,7.7,259051,7.6,50719,"A","Comedy, Drama, Romance",81,"https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Sin City",1,0,0,0,"tt0401792","2005-06-01","Crime, Thriller",124,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",8,733158,8,8.1,117,8,121070,8.1,387597,7.7,70261,"A","Crime, Thriller",74,"https://m.media-amazon.com/images/M/MV5BODZmYjMwNzEtNzVhNC00ZTRmLTk2M2UtNzE1MTQ2ZDAxNjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Some Like It Hot",0,0,1,0,"tt0031950","1939-05-19","Comedy, Musical, Romance",65,"Nicky Nelson is a fast-talking sideshow barker with a wax-and-alive concession on Atlantic City's boardwalk. Even with the band of his friend, struggling musician Gene Krupa, playing on the...",6.7,234,6.9,6,1,6.6,6,6.9,32,6.7,121,"U","Comedy, Music, Romance",98,"https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Some Like It Hot",0,0,1,0,"tt0053291","1959-09-16","Comedy, Music, Romance",121,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,238048,8.2,8.3,109,8.3,38354,8.1,91230,8.3,43552,"U","Comedy, Music, Romance",98,"https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Song of the Sea",1,0,0,0,"tt1865505","2016-06-23","Animation, Adventure, Drama",93,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",8.1,49220,8.2,8.1,53,8.2,12683,8,19688,7.9,3652,"PG","Animation, Adventure, Drama",85,"https://m.media-amazon.com/images/M/MV5BMTQ2MDMwNjEwNV5BMl5BanBnXkFtZTgwOTkxMzI0MzE@._V1_UY98_CR0,0,67,98_AL_.jpg"
"Spider-Man: Into the Spider-Verse",1,0,0,0,"tt4633694","2018-12-25","Animation, Action, Adventure",117,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",8.4,335892,8.4,8.8,1183,8.6,86349,8.2,92381,8,18957,"U","Animation, Action, Adventure",87,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Stalag 17",0,0,1,0,"tt0046359","1953-12-07","Comedy, Drama, War",120,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",8,50292,8,7.6,9,7.9,4639,7.9,19659,8.1,15506,"","Comedy, Drama, War",84,"https://m.media-amazon.com/images/M/MV5BNDMyNGU0NjUtNTIxMC00ZmU2LWE0ZGItZTdkNGVlODI2ZDcyL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Star Trek II: The Wrath of Khan",0,1,1,0,"tt0084726","1982-10-22","Action, Adventure, Sci-Fi",113,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",7.7,110769,7.8,8,40,7.7,8322,7.6,46017,7.8,27958,"U","Action, Adventure, Sci-Fi",67,"https://m.media-amazon.com/images/M/MV5BMzcyYWE5YmQtNDE1Yi00ZjlmLWFlZTAtMzRjODBiYjM3OTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Sweet Smell of Success",0,0,1,0,"tt0051036","1957-10-04","Drama, Film-Noir",96,"Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.",8.1,27248,8,7.8,16,8.2,3439,8,10945,8,7310,"Approved","Drama, Film-Noir",100,"https://m.media-amazon.com/images/M/MV5BMjE5NTU3YWYtOWIxNi00YWZhLTg2NzktYzVjZWY5MDQ4NzVlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Tangled",0,0,0,1,"tt0398286","2010-11-26","Animation, Adventure, Comedy",100,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",7.7,396086,7.9,7.6,510,7.9,115262,7.7,146479,7.6,25161,"U","Animation, Adventure, Comedy",71,"https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Taxi Driver",1,0,0,0,"tt0075314","1976-09-24","Crime, Drama",114,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",8.3,703264,8.2,8.7,520,8.3,145659,8.2,281355,8.3,74381,"A","Crime, Drama",94,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"The African Queen",0,0,1,0,"tt0043265","1952-11-26","Adventure, Drama, Romance",105,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",7.7,70236,7.8,8,12,7.5,5627,7.5,24827,8.1,22693,"PG","Adventure, Drama, Romance",91,"https://m.media-amazon.com/images/M/MV5BYzM3YjE2NGMtODY3Zi00NTY0LWE4Y2EtMTE5YzNmM2U1NTg2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX67_CR0,0,67,98_AL_.jpg"
"The Artist",1,0,0,0,"tt1655442","2011-12-09","Comedy, Drama, Romance",100,"An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.",7.9,227320,7.8,7.7,65,8,51442,7.9,105336,7.7,27561,"U","Comedy, Drama, Romance",89,"https://m.media-amazon.com/images/M/MV5BMDUyZWU5N2UtOWFlMy00MTI0LTk0ZDYtMzFhNjljODBhZDA5XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY98_CR1,0,67,98_AL_.jpg"
"The Avengers",0,0,1,1,"tt0848228","2012-04-25","Action, Adventure, Sci-Fi",143,"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.",8,1241220,8.1,8.1,1190,8.1,331135,8,451052,8,87601,"UA","Action, Adventure, Sci-Fi",69,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
"The Avengers",0,0,1,1,"tt0118661","1998-10-30","Action, Adventure, Sci-Fi",89,"Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.",3.8,40374,3.9,3,9,3.8,1590,3.8,18203,3.9,10325,"UA","Action, Adventure, Sci-Fi",69,"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
"The Boondock Saints",0,0,1,0,"tt0144117","2000-03-03","Action, Crime, Thriller",108,"Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.",7.8,224749,8,7.8,23,7.8,31596,7.8,130483,7.4,20339,"R","Action, Crime, Thriller",44,"https://m.media-amazon.com/images/M/MV5BYzVmMTdjOTYtOTJkYS00ZTg2LWExNTgtNzA1N2Y0MDgwYWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
